ID;Kategorie;Anforderung;Vorbedingung;Testdaten;Testschritte/-aktion;Erwartetes Ergebnis;Nachbedingung
T-01;Positiv;Anforderung 3.2;Benutzerkonto existiert und ist aktiv.;"email: ""alice@example.test"", pw: ""Start123!""";POST an /api/login mit korrekter E-Mail und Passwort senden.;HTTP 200 OK. Erfolgreicher Login liefert Token.;Der Benutzer ist für Folgeanfragen authentifiziert.
T-02;Positiv;Anforderung 4;Benutzer ist erfolgreich eingeloggt (Token vorhanden).;"title: ""Neue Testaufgabe""";POST an /api/tasks nur mit 'title' senden.;HTTP 201 Created. Task-Erstellung mit minimalen Pflichtfeldern.;Ein neuer Task-Datensatz wurde dauerhaft im Store abgelegt.
T-03;Positiv;Anforderung 5.5;Admin-Benutzer ist eingeloggt.;"id: ""t1"", title: ""Admin-Aenderung""";PATCH an /api/tasks/{id} eines fremden Tasks mit neuem Titel senden.;HTTP 200 OK. Admin darf jeden Task bearbeiten.;Die geänderten Task-Daten sind dauerhaft im Store aktualisiert.
T-04;Negativ;Anforderung 3.3;Benutzerkonto existiert.;"email: ""alice@example.test"", pw: ""FalschesPW!""";POST an /api/login mit falschem Passwort senden.;HTTP 401 Unauthorized. Login mit falschen Anmeldedaten schlägt fehl.;Die Anzahl der Fehlversuche für das Konto wurde im System um 1 erhöht.
T-05;Negativ;Anforderung 4;Benutzer ist eingeloggt.;{};POST an /api/tasks mit leerem Body oder fehlendem 'title'-Feld senden.;HTTP 400 Bad Request. Task-Erstellung schlägt ohne Titel oder leerem Body fehl.;Das System bleibt unverändert. Es wurden keine Daten im Store angelegt oder verändert.
T-06;Negativ;Anforderung 4;Benutzer ist eingeloggt.;"title: ""Spaeter Task"", dueDate: ""2020-01-01""";POST an /api/tasks mit 'dueDate' in der Vergangenheit senden.;HTTP 400 Bad Request. Task-Erstellung mit ungültigem Datum.;Das System bleibt unverändert. Es wurden keine Daten im Store angelegt oder verändert.
T-07;Negativ;Anforderung 6.6;Server läuft im Normalbetrieb.;"{""title"": ""Kaputt""";POST an /api/tasks mit syntaktisch ungültigem JSON  senden.;HTTP 400 Bad Request. API stürzt bei kaputtem JSON nicht ab.;Das System bleibt unverändert. Es wurden keine Daten im Store angelegt oder verändert.
T-08;Grenzwert / Äquivalenzklasse;Anforderung 4;Benutzer ist eingeloggt.;"title: "" Abc """;POST an /api/tasks mit einem Titel aus genau 3 Zeichen nach Trimmen  senden.;HTTP 201 Created. Task-Titel exakt an der Untergrenze.;Der Task wurde mit dem getrimmten Titel im Store gespeichert.
T-09;Grenzwert / Äquivalenzklasse;Anforderung 3.4 & 3.5;Benutzerkonto ist aktiv.;"5x pw: ""Falsch"", danach 1x pw: ""Start123!""";5-mal hintereinander POST an /api/login mit falschem Passwort senden. Beim 6. Mal korrekte Daten senden.;Versuch 1-5 liefert HTTP 401 Unauthorized. Der 6. Versuch liefert HTTP 423 Locked. Kontosperrung exakt nach 5. Fehlversuch.;"Das Benutzerkonto ist im System dauerhaft mit dem Status ""gesperrt"" markiert."
T-10;Authentifizierung / Security;Anforderung 2.1;Mitarbeiter-Benutzer (Alice) ist eingeloggt.;Keine Eingabedaten nötig, nur GET-Aufruf.;GET an /api/tasks (fordert alle Tasks an).;HTTP 403 Forbidden oder gefilterte Liste. Mitarbeiter darf fremde Tasks nicht lesen.;Keine Datenveränderung im Store. Fremde Daten wurden weder manipuliert noch unberechtigt übertragen.
T-11;Authentifizierung / Security;Anforderung 2.2;Mitarbeiter-Benutzer (Alice) ist eingeloggt.;"id: ""t2"", title: ""Unerlaubter Hack""";PATCH an /api/tasks/{id} eines Tasks von Bob senden.;HTTP 403 Forbidden. Mitarbeiter darf fremde Tasks nicht editieren.;Keine Datenveränderung im Store. Fremde Daten wurden weder manipuliert noch unberechtigt übertragen.
T-12;Authentifizierung / Security;Anforderung 6.5;Server läuft im Normalbetrieb.;Keine Eingabedaten nötig.;Provokation eines Fehlers (z.B. durch T-07 oder ungültige Routen).;Fehlerantwort enthält keinerlei Stacktraces. Keine Information Disclosure bei Fehlern.;Das System läuft stabil weiter, es wurden keine internen Systempfade offengelegt.

